gene,beta,HR,HR_lower_95,HR_upper_95,p_value
S100P,0.2351,1.2651,1.0712,1.4941,0.0056
FBXL16,-0.8162,0.4421,0.2363,0.8274,0.0107
MICB,-0.4297,0.6507,0.4468,0.9477,0.0251
KLHL5,-0.9658,0.3807,0.1486,0.975,0.0442
MTHFD1,-0.6197,0.5381,0.2718,1.0653,0.0753
CEBPD,0.5431,1.7213,0.9133,3.2439,0.093
DEFB132,-1.3251,0.2658,0.0474,1.4914,0.1321
SOX4,0.6149,1.8495,0.8097,4.2247,0.1445
UBE2S,0.2796,1.3226,0.8932,1.9584,0.1627
STAT5A,-0.3587,0.6986,0.3568,1.3679,0.2954
TF,0.236,1.2661,0.7776,2.0615,0.3428
MDK,0.1567,1.1696,0.8245,1.6591,0.3798
SOD2,0.1549,1.1675,0.7755,1.7576,0.4582
ACO1,-0.2931,0.746,0.2092,2.6601,0.6514
BLNK,-0.0724,0.9301,0.6667,1.2977,0.6699
ARF1,0.1745,1.1907,0.4805,2.9503,0.7062
COLEC12,0.0704,1.0729,0.7371,1.5618,0.7132
CFB,-0.0684,0.9339,0.592,1.473,0.7685
EIF4E3,-0.0911,0.9129,0.3436,2.426,0.8551
GNS,-0.07,0.9324,0.386,2.252,0.8764
TRIM45,-0.0192,0.9809,0.508,1.8941,0.9543
